128.130.0.0/16
128.131.0.0/16
128.139.0.0/16
128.141.0.0/16
128.142.0.0/16
128.16.0.0/16
128.176.0.0/16
128.178.0.0/16
128.179.0.0/16
128.199.0.0/16
128.214.0.0/16
128.232.0.0/16
128.240.0.0/16
128.243.0.0/16
128.246.0.0/16
128.39.0.0/16
128.40.0.0/16
128.41.0.0/16
128.7.0.0/16
128.86.0.0/16
128.87.0.0/16
128.93.0.0/16
128.98.0.0/16
129.102.0.0/16
129.103.0.0/16
129.104.0.0/16
129.11.0.0/16
129.12.0.0/16
129.125.0.0/16
129.129.0.0/16
129.13.0.0/16
129.132.0.0/16
129.143.0.0/16
129.16.0.0/16
129.169.0.0/16
129.175.0.0/16
129.177.0.0/16
129.178.0.0/16
129.181.0.0/16
129.182.0.0/16
129.183.0.0/16
129.184.0.0/16
129.185.0.0/16
129.187.0.0/16
129.194.0.0/16
129.195.0.0/16
129.199.0.0/16
129.20.0.0/16
129.206.0.0/16
129.208.0.0/16
129.214.0.0/16
129.215.0.0/16
129.217.0.0/16
129.233.0.0/16
129.234.0.0/16
129.240.0.0/16
129.241.0.0/16
129.242.0.0/16
129.247.0.0/16
129.26.0.0/16
129.27.0.0/16
129.31.0.0/16
129.67.0.0/16
129.69.0.0/16
129.70.0.0/16
129.73.0.0/16
129.88.0.0/16
130.100.0.0/16
130.104.0.0/16
130.112.0.0/16
130.115.0.0/16
130.120.0.0/16
130.125.0.0/16
130.133.0.0/16
130.136.0.0/16
130.138.0.0-130.143.255.255
130.138.0.0/15
130.140.0.0/14
130.144.0.0/16
130.145.0.0-130.147.255.255
130.145.0.0/16
130.146.0.0/15
130.148.0.0/16
130.149.0.0/16
130.159.0.0/16
130.161.0.0/16
130.183.0.0/16
130.186.0.0/16
130.188.0.0/16
130.190.0.0/16
130.192.0.0/16
130.198.0.0/16
130.206.0.0/16
130.208.0.0/16
130.209.0.0/16
130.223.0.0/16
130.225.0.0/16
130.226.0.0/16
130.229.0.0/16
130.230.0.0/16
130.231.0.0/16
130.232.0.0/16
130.233.0.0/16
130.234.0.0/16
130.235.0.0/16
130.236.0.0/16
130.238.0.0/16
130.239.0.0/16
130.24.0.0/16
130.240.0.0/16
130.241.0.0/16
130.246.0.0/16
